Price,Address,Beds,Baths,Sqft
249000,"8400 Hickory St Unit 103, Frisco, TX 75034",3,2,2200
279900,"7182 Hickory St, Frisco, TX 75034",3,2,2200
225000,"4905 Shadetree St, Little Elm, TX 76227",3,2,2200
275000,"3616 Ashley Gdns, The Colony, TX 75056",3,2,2200
299000,"1214 Emerson Ln, Denton, TX 76209",3,2,2200
248000,"2509 N Brook Dr, McKinney, TX 75072",3,2,2200
286990,"910 Pine Beach Dr, McKinney, TX 75071",3,2,2200
235000,"2003 Jasmine St, Denton, TX 76205",3,2,2200
280000,"100 Yorkshire Dr, Princeton, TX 75407",3,2,2200
255849,"709 Holleman Dr, Princeton, TX 75407",3,2,2200
